Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
01/12/2018,9.080,8.550,9.360,8.535,"198,19M","7,46%"
01/11/2018,8.450,8.700,8.715,7.780,"370,77M","-2,26%"
01/10/2018,8.645,9.305,9.440,8.440,"212,58M","-8,08%"
01/09/2018,9.405,8.790,9.445,8.200,"223,24M","7,24%"
01/08/2018,8.770,8.740,9.045,8.080,"224,68M","1,39%"
01/07/2018,8.650,9.180,9.525,8.530,"154,10M","-6,18%"
01/06/2018,9.220,9.120,9.380,8.775,"178,87M","1,10%"
01/05/2018,9.120,9.320,9.925,8.980,"255,41M","-1,62%"
01/04/2018,9.270,10.030,10.500,8.910,"207,16M","-6,41%"
01/03/2018,9.905,10.780,10.900,9.795,"221,32M","-8,12%"
01/02/2018,10.780,10.900,11.110,10.700,"225,84M","-0,92%"
01/01/2018,10.880,11.235,11.620,10.500,"228,58M","-2,68%"
01/12/2017,11.180,9.860,11.195,9.815,"208,84M","13,39%"
01/11/2017,9.860,9.850,10.200,9.785,"225,64M","-0,60%"
01/10/2017,9.920,9.840,10.235,9.710,"199,11M","1,28%"
01/09/2017,9.795,10.110,10.350,9.795,"155,89M","-3,12%"
01/08/2017,10.110,9.820,10.200,9.385,"187,93M","3,27%"
01/07/2017,9.790,9.900,9.910,9.305,"169,17M","0,31%"
01/06/2017,9.760,9.250,9.900,9.250,"94,81M","5,68%"
01/05/2017,9.235,8.970,10.005,8.960,"249,86M","3,76%"
01/04/2017,8.900,8.680,9.160,8.680,"122,23M","2,71%"
01/03/2017,8.665,8.420,8.840,8.365,"161,90M","2,73%"
01/02/2017,8.435,8.345,8.580,8.220,"129,83M","2,37%"
01/01/2017,8.240,7.800,8.400,7.760,"183,08M","6,19%"
01/12/2016,7.760,8.180,8.485,7.565,"234,72M","-4,26%"
01/11/2016,8.105,8.910,8.910,7.920,"226,39M","-8,88%"
01/10/2016,8.895,8.910,9.065,8.820,"187,80M","-0,17%"
01/09/2016,8.910,9.020,9.200,8.800,"188,33M","-2,41%"
01/08/2016,9.130,9.190,9.390,8.920,"221,90M","1,33%"
01/07/2016,9.010,9.020,9.560,8.725,"179,94M","-0,06%"
01/06/2016,9.015,8.620,9.120,8.560,"164,16M","4,58%"
01/05/2016,8.620,8.520,9.030,8.470,"125,59M","1,23%"
01/04/2016,8.515,8.600,9.460,8.405,"195,80M","-0,82%"
01/03/2016,8.585,8.905,9.560,8.395,"284,27M","-3,59%"
01/02/2016,8.905,7.340,9.235,7.210,"240,21M","21,32%"
01/01/2016,7.340,7.400,7.500,7.060,"213,96M","-0,81%"
01/12/2015,7.400,7.530,7.565,6.830,"168,80M","0,68%"
01/11/2015,7.350,7.400,7.700,6.900,"145,90M","-0,68%"
01/10/2015,7.400,7.600,8.000,7.400,"164,55M","-2,63%"
01/09/2015,7.600,7.895,8.050,7.070,"152,56M","-4,34%"
01/08/2015,7.945,7.850,8.080,6.600,"189,33M","-0,69%"
01/07/2015,8.000,7.980,8.275,7.620,"147,28M","1,27%"
01/06/2015,7.900,8.700,8.740,7.860,"189,60M","-8,78%"
01/05/2015,8.660,8.520,9.200,8.430,"180,48M","1,64%"
01/04/2015,8.520,7.840,8.900,7.535,"227,12M","7,44%"
01/03/2015,7.930,7.200,8.100,7.150,"206,00M","10,14%"
01/02/2015,7.200,7.200,7.400,6.970,"133,51M","0,49%"
01/01/2015,7.165,6.460,7.255,6.420,"175,84M","10,91%"
01/12/2014,6.460,6.360,6.460,6.105,"149,03M","1,57%"
01/11/2014,6.360,6.120,6.400,5.940,"126,26M","4,61%"
01/10/2014,6.080,6.360,6.440,5.925,"195,81M","-4,40%"
01/09/2014,6.360,6.290,6.420,6.205,"104,30M","2,50%"
01/08/2014,6.205,5.900,6.420,5.900,"109,33M","0,89%"
01/07/2014,6.150,5.855,6.600,5.850,"188,25M","5,04%"
01/06/2014,5.855,5.900,6.110,5.840,"164,61M","0,52%"
01/05/2014,5.825,5.760,6.170,5.760,"144,13M","-0,43%"
01/04/2014,5.850,5.900,6.195,5.700,"171,42M","0,00%"
01/03/2014,5.850,5.620,6.270,5.505,"220,61M","2,36%"
01/02/2014,5.715,5.680,5.730,5.505,"160,89M","0,09%"
01/01/2014,5.710,5.370,5.755,5.160,"230,08M","9,81%"
01/12/2013,5.200,5.320,5.460,5.020,"173,34M","-2,26%"
01/11/2013,5.320,5.960,6.160,5.140,"228,95M","-11,33%"
01/10/2013,6.000,6.030,7.470,5.920,"240,38M","-0,50%"
01/09/2013,6.030,6.240,6.660,6.020,"209,54M","-3,37%"
01/08/2013,6.240,6.400,6.470,5.320,"171,36M","-1,89%"
01/07/2013,6.360,5.200,6.920,5.200,"197,82M","3,41%"
01/06/2013,6.150,6.000,6.310,5.110,"286,48M","0,82%"
01/05/2013,6.100,5.000,6.900,4.960,"241,08M","16,19%"
01/04/2013,5.250,4.480,5.250,4.430,"216,09M","15,13%"
01/03/2013,4.560,4.600,4.620,4.340,"193,78M","-0,22%"
01/02/2013,4.570,4.370,4.660,4.330,"214,45M","3,63%"
01/01/2013,4.410,4.180,4.630,4.180,"277,86M","5,76%"